MovieID_i,MovieId_j,correlation
4246,4246,0.0
4246,4252,1.0
4246,4260,2.0
4246,4273,0.0
4246,4306,-1.5
4246,4308,3.0
4246,4310,1.5
4246,4347,0.0
4246,4370,-2.5
4246,4381,1.0
4246,4447,-1.0
4246,4518,0.0
4246,4558,0.0
4246,4641,3.0
4246,4643,1.0
4246,4700,0.5
4246,4741,1.0
4246,4765,-1.0
4246,4844,0.5
4246,4874,-1.0
4246,4881,1.0
4246,4886,-2.0
4246,4896,-1.0
4246,4902,0.0
4246,4963,-2.0
4246,4967,-1.0
4246,4993,-1.5
4246,4995,-1.5
4246,5048,0.0
4246,5060,0.0
4246,5066,0.5
4246,5181,0.0
4246,5218,-1.5
4246,5349,-1.5
4246,5377,0.0
4246,5378,1.5
4246,5445,-2.0
4246,5447,0.0
4246,5451,0.0
4246,5459,-1.0
4246,5464,-1.0
4246,5481,0.0
4246,5502,0.5
4246,5507,0.0
4246,5618,-3.0
4246,5620,0.5
4246,5746,0.0
4246,5764,0.0
4246,5816,-2.5
4246,5841,0.0
4246,5843,0.0
4246,5872,0.0
4246,5890,0.0
4246,5891,0.0
4246,5893,0.0
4246,5902,0.0
4246,5919,0.0
4246,5943,0.5
4246,5952,-1.5
4246,5956,0.0
4246,5957,0.5
4246,5962,0.0
4246,5965,0.0
4246,5988,0.0
4246,5989,-2.0
4246,5991,-2.5
4246,6001,0.0
4246,6044,0.0
4246,6155,0.5
4246,6238,0.0
4246,6266,0.5
4246,6333,-2.0
4246,6365,-2.0
4246,6377,0.0
4246,6534,1.5
4246,6535,-0.5
4246,6539,-2.5
4246,6835,0.0
4246,6863,-2.5
4246,6874,0.0
4246,6934,0.0
4246,6942,-0.5
4246,7143,-2.5
4246,7149,-0.5
4246,7151,0.5
4246,7153,-1.25
4246,7154,-0.5
4246,7155,-1.0
4246,7169,-1.0
4246,7293,0.0
4246,7375,-0.5
4246,7445,-2.0
4246,7451,0.0
4246,7458,-1.5
4246,7899,0.0
4246,7991,0.0
4246,8207,-2.5
4246,8360,-1.5
4246,8368,-0.5
4246,8373,0.0
4246,8528,-2.5
4246,8529,0.0
4246,8533,-1.5
4246,8636,-1.25
4246,8665,-0.75
4246,8666,1.0
4246,8783,1.0
4246,8798,-2.5
4246,8808,0.5
4246,8865,1.0
4246,8869,-1.5
4246,8870,-1.5
4246,8907,1.0
4246,8908,-2.5
4246,8949,-2.0
4246,8957,-2.0
4246,8958,-1.5
4246,8961,-0.5
4246,8965,1.0
4246,8969,0.0
4246,8970,1.0
4246,8972,-0.5
4246,8984,-2.0
4246,26409,0.0
4246,27741,-1.0
4246,30749,0.0
4246,30812,-1.5
4246,30816,0.0
4246,31433,1.0
4246,31685,-1.0
4246,31878,-1.5
4246,32029,0.0
4246,32031,0.5
4246,32296,0.0
4246,32587,-1.5
4246,33145,0.5
4246,33162,-1.5
4246,33493,1.0
4246,33679,0.5
4246,33794,-0.75
4246,33836,1.0
4246,34048,-1.0
4246,34319,-2.5
4246,37741,-1.5
4246,38388,-1.5
4246,40629,0.5
4246,40819,-0.5
4246,41285,1.0
4246,42002,-2.5
4246,45499,-2.0
4246,45517,-2.5
4246,45668,1.0
4246,45730,1.5
4246,46530,1.0
4246,46970,0.0
4246,47099,0.5
4246,48516,1.0
4246,48783,-2.5
4246,48997,-0.5
4246,49272,-2.0
4246,49278,-1.5
4246,49286,0.0
4246,49824,-1.0
4246,51662,0.5
4246,51705,-1.0
4246,51834,2.0
4246,54286,0.0
4246,56367,0.0
4246,56949,0.5
4246,58047,0.0
4246,58559,-1.0
4246,59333,1.0
4246,59421,1.5
4246,60397,0.5
4246,60756,0.0
4246,60950,1.5
4246,61250,1.0
4246,63113,0.0
4246,63992,-1.0
4246,64969,3.0
4246,66203,0.0
4246,68157,0.0
4246,68954,-0.5
4246,69406,-1.0
4246,69844,0.5
4246,70183,0.5
4246,70293,3.0
4246,70946,0.0
4246,71535,0.0
4246,71579,-1.5
4246,72011,1.0
4246,72330,0.0
4246,72378,0.0
4246,72407,0.5
4246,72720,0.0
4246,72737,0.0
4246,72998,1.0
4246,73017,0.5
4246,74450,0.5
4246,74458,0.0
4246,77455,0.0
4246,77841,1.5
4246,78772,0.5
4246,79091,-1.5
4246,79132,0.0
4246,80489,0.0
4246,80549,0.0
4246,80906,0.0
4246,81784,1.0
4246,81845,-1.5
4246,81847,0.0
4246,82167,0.0
4246,82499,1.5
4246,84374,0.0
4246,86345,0.0
4246,86548,0.5
4246,87222,0.0
4246,88163,-0.5
4246,88810,0.5
4246,89774,0.0
4246,91104,0.5
4246,91529,-1.5
4246,91658,0.0
4246,92259,-1.5
4246,94070,-1.0
4246,95167,-0.5
4246,95449,-0.5
4246,95510,0.5
4246,95543,0.0
4246,96079,-1.5
4246,97024,3.0
4246,97938,2.5
4246,98203,0.5
4246,99114,0.0
4246,103335,-0.5
4246,103339,-0.5
4246,104374,-0.5
4246,105211,1.0
4246,106489,0.0
4246,106696,-1.0
4246,106782,2.5
4246,107141,1.5
4246,109374,3.0
4246,109487,3.0
4246,109853,-0.5
4246,112006,-0.5
4246,112552,0.0
4246,113275,-1.0
4246,113394,-0.5
4246,114060,0.0
4246,115713,0.0
4246,119145,2.5
4246,122882,0.0
4246,129428,0.0
4246,131724,0.0
4246,136020,-1.5
4246,137595,-0.5
4246,140110,-1.5
4252,4246,-1.0
4252,4252,0.0
4252,4260,1.0
4252,4273,-1.0
4252,4306,0.0
4252,4308,2.0
4252,4310,0.0
4252,4347,-1.0
4252,4370,0.0
4252,4381,0.0
4252,4447,0.0
4252,4518,0.0
4252,4558,0.0
4252,4641,2.0
4252,4643,0.0
4252,4700,0.0
4252,4741,0.0
4252,4765,-2.0
4252,4844,0.0
4252,4874,0.0
4252,4881,0.0
4252,4886,0.0
4252,4896,-1.0
4252,4902,-1.0
4252,4963,0.0
4252,4967,-2.0
4252,4993,0.0
4252,4995,0.0
4252,5048,0.0
4252,5060,0.0
4252,5066,0.0
4252,5181,0.0
4252,5218,0.0
4252,5349,0.0
4252,5377,0.0
4252,5378,0.0
4252,5445,0.0
4252,5447,0.0
4252,5451,0.0
4252,5459,0.0
4252,5464,0.0
4252,5481,0.0
4252,5502,0.0
4252,5507,0.0
4252,5618,0.0
4252,5620,0.0
4252,5746,0.0
4252,5764,0.0
4252,5816,0.0
4252,5841,0.0
4252,5843,0.0
4252,5872,0.0
4252,5890,0.0
4252,5891,0.0
4252,5893,0.0
4252,5902,0.0
4252,5919,0.0
4252,5943,0.0
4252,5952,0.0
4252,5956,0.0
4252,5957,0.0
4252,5962,0.0
4252,5965,0.0
4252,5988,0.0
4252,5989,0.0
4252,5991,0.0
4252,6001,0.0
4252,6044,0.0
4252,6155,0.0
4252,6238,0.0
4252,6266,0.0
4252,6333,0.0
4252,6365,0.0
4252,6377,0.0
4252,6534,0.0
4252,6535,0.0
4252,6539,0.0
4252,6835,0.0
4252,6863,0.0
4252,6874,0.0
4252,6934,0.0
4252,6942,0.0
4252,7143,0.0
4252,7149,0.0
4252,7151,0.0
4252,7153,0.0
4252,7154,0.0
4252,7155,0.0
4252,7169,0.0
4252,7293,0.0
4252,7375,0.0
4252,7445,0.0
4252,7451,0.0
4252,7458,0.0
4252,7899,0.0
4252,7991,0.0
4252,8207,0.0
4252,8360,0.0
4252,8368,0.0
4252,8373,0.0
4252,8528,0.0
4252,8529,0.0
4252,8533,0.0
4252,8636,0.0
4252,8665,0.0
4252,8666,0.0
4252,8783,0.0
4252,8798,0.0
4252,8808,0.0
4252,8865,0.0
4252,8869,0.0
4252,8870,0.0
4252,8907,0.0
4252,8908,0.0
4252,8949,0.0
4252,8957,0.0
4252,8958,0.0
4252,8961,0.0
4252,8965,0.0
4252,8969,0.0
4252,8970,0.0
4252,8972,0.0
4252,8984,0.0
4252,26409,0.0
